Genotype	MouseID	T_cell_subset	TCR_chain	Cys_present	Cys_absent	Cys_index
dko	175	CD8 Tconv	b	74	3073	2.35144582141722
zap	178	Pre-sel'n	a	38	4721	0.798487077117041
zap	180	Pre-sel'n	a	4	366	1.08108108108108
zap	181	Pre-sel'n	a	2	211	0.938967136150235
zap	178	CD8aa IEL	a	5	204	2.39234449760766
zap	180	CD8aa IEL	a	1	47	2.08333333333333
zap	181	CD8aa IEL	a	3	94	3.09278350515464
zap	178	CD4 Tconv	a	166	9664	1.68870803662258
zap	180	CD4 Tconv	a	9	1945	0.460593654042989
zap	181	CD4 Tconv	a	36	1754	2.01117318435754
zap	178	CD8 Tconv	a	204	26543	0.762702359143081
zap	180	CD8 Tconv	a	5	993	0.501002004008016
zap	181	CD8 Tconv	a	6	675	0.881057268722467
zap	178	Pre-sel'n	b	467	28549	1.60945685139234
zap	180	Pre-sel'n	b	80	5269	1.49560665544962
zap	181	Pre-sel'n	b	53	4713	1.11204364246748
zap	178	CD8aa IEL	b	7	262	2.60223048327138
zap	180	CD8aa IEL	b	1	32	3.03030303030303
zap	181	CD8aa IEL	b	1	186	0.53475935828877
zap	178	CD4 Tconv	b	688	20533	3.24207153291551
zap	180	CD4 Tconv	b	67	3222	2.03709334144117
zap	181	CD4 Tconv	b	183	3820	4.57157132150887
zap	178	CD8 Tconv	b	4590	43568	9.53112670791976
zap	180	CD8 Tconv	b	216	2999	6.71850699844479
zap	181	CD8 Tconv	b	198	3000	6.19136960600375
